Rank,Nation,Gold,Silver,Bronze,Total
1,United States,45,28,34,107
2,Soviet Union,29,32,30,91
3,Japan,11,7,7,25
4,Hungary,10,10,12,32
5,East Germany,9,9,7,25
6,France,7,3,5,15
7,Czechoslovakia,7,2,4,13
8,West Germany,5,11,10,26
9,Australia,5,7,5,17
10,Great Britain,5,5,3,13
11,Poland,5,2,11,18
12,Romania,4,6,5,15
13,Italy,3,4,9,16
14,Kenya,3,4,2,9
15,Mexico*,3,3,3,9
16,Yugoslavia,3,3,2,8
17,Netherlands,3,3,1,7
18,Bulgaria,2,4,3,9
19,Iran,2,1,2,5
20,Sweden,2,1,1,4
21,Turkey,2,0,0,2
22,Denmark,1,4,3,8
23,Canada,1,3,1,5
24,Finland,1,2,1,4
25,Ethiopia,1,1,0,2
25,Norway,1,1,0,2
27,New Zealand,1,0,2,3
28,Tunisia,1,0,1,2
29,Pakistan,1,0,0,1
29,Venezuela,1,0,0,1
31,Cuba,0,4,0,4
32,Austria,0,2,2,4
33,Switzerland,0,1,4,5
34,Mongolia,0,1,3,4
35,Brazil,0,1,2,3
36,Belgium,0,1,1,2
36,South Korea,0,1,1,2
36,Uganda,0,1,1,2
39,Cameroon,0,1,0,1
39,Jamaica,0,1,0,1
41,Argentina,0,0,2,2
42,Greece,0,0,1,1
42,India,0,0,1,1
42,Taiwan,0,0,1,1
Totals (44 entries),Totals (44 entries),174,170,183,527
