Rank,NOC,Gold,Silver,Bronze,Total
1,Russia,11,8,4,23
2,Norway*,10,11,5,26
3,Germany,9,7,8,24
4,Italy,7,5,8,20
5,United States,6,5,2,13
6,South Korea,4,1,1,6
7,Canada,3,6,4,13
8,Switzerland,3,4,2,9
9,Austria,2,3,4,9
10,Sweden,2,1,0,3
11,Japan,1,2,2,5
12,Kazakhstan,1,2,0,3
13,Ukraine,1,0,1,2
14,Uzbekistan,1,0,0,1
15,Belarus,0,2,0,2
16,Finland,0,1,5,6
17,France,0,1,4,5
18,Netherlands,0,1,3,4
19,China,0,1,2,3
20,Slovenia,0,0,3,3
21,Great Britain,0,0,2,2
22,Australia,0,0,1,1
Totals (22 entries),Totals (22 entries),61,61,61,183
