Rank,NOC,Gold,Silver,Bronze,Total
1,Germany,12,9,8,29
2,Norway,10,10,5,25
3,Russia,9,6,3,18
4,Canada,6,5,4,15
5,United States,6,3,4,13
6,Netherlands,5,4,2,11
7,Japan*,5,1,4,10
8,Austria,3,5,9,17
9,South Korea,3,1,2,6
10,Italy,2,6,2,10
11,Finland,2,4,6,12
12,Switzerland,2,2,3,7
13,France,2,1,5,8
14,Czech Republic,1,1,1,3
15,Bulgaria,1,0,0,1
16,China,0,6,2,8
17,Sweden,0,2,1,3
18,Denmark,0,1,0,1
18,Ukraine,0,1,0,1
20,Belarus,0,0,2,2
20,Kazakhstan,0,0,2,2
22,Australia,0,0,1,1
22,Belgium,0,0,1,1
22,Great Britain,0,0,1,1
Totals (24 entries),Totals (24 entries),69,68,68,205
