Rank,NOC,Gold,Silver,Bronze,Total
1,Norway,8,3,7,18
2,Italy*,6,3,9,18
3,United States,4,7,3,14
4,France,4,5,1,10
5,Germany,4,4,3,11
6,Sweden,4,3,1,8
7,Switzerland,4,1,2,7
8,Austria,3,6,3,12
9,Japan,3,3,8,14
10,Netherlands,3,3,1,7
11,Czech Republic,2,2,0,4
12,Australia,2,1,0,3
13,South Korea,1,1,2,4
14,Slovenia,1,1,0,2
15,Great Britain,1,0,0,1
15,Kazakhstan,1,0,0,1
17,Canada,0,3,4,7
18,China,0,2,2,4
19,Poland,0,2,0,2
20,New Zealand,0,1,1,2
21,Latvia,0,1,0,1
22,Bulgaria,0,0,2,2
23,Belgium,0,0,1,1
23,Finland,0,0,1,1
Totals (24 entries),Totals (24 entries),51,52,51,154
