Rank,Nation,Gold,Silver,Bronze,Total
1,Soviet Union,37,29,32,98
2,United States,32,25,17,74
3,Australia*,13,8,14,35
4,Hungary,9,10,7,26
5,Italy,8,8,9,25
6,Sweden,8,5,6,19
7,United Team of Germany[e],6,13,7,26
8,Great Britain,6,7,11,24
9,Romania,5,3,5,13
10,Japan,4,10,5,19
11,France,4,4,6,14
12,Turkey,3,2,2,7
13,Finland,3,1,11,15
14,Iran,2,2,1,5
15,Canada,2,1,3,6
16,New Zealand,2,0,0,2
17,Poland,1,4,4,9
18,Czechoslovakia,1,4,1,6
19,Bulgaria,1,3,1,5
20,Denmark,1,2,1,4
21,Ireland,1,1,3,5
22,Norway,1,0,2,3
23,Mexico,1,0,1,2
24,Brazil,1,0,0,1
24,India,1,0,0,1
26,Yugoslavia,0,3,0,3
27,Chile,0,2,2,4
28,Belgium,0,2,0,2
29,Argentina,0,1,1,2
29,South Korea,0,1,1,2
31,Iceland,0,1,0,1
31,Pakistan,0,1,0,1
33,South Africa,0,0,4,4
34,Austria,0,0,2,2
35,Bahamas,0,0,1,1
35,Greece,0,0,1,1
35,Switzerland,0,0,1,1
35,Uruguay,0,0,1,1
Totals (38 entries),Totals (38 entries),153,153,163,469
