Rank,NOC,Gold,Silver,Bronze,Total
1,Soviet Union,43,29,31,103
2,United States,34,21,16,71
3,Italy*,13,10,13,36
4,United Team of Germany,12,19,11,42
5,Australia,8,8,6,22
6,Turkey,7,2,0,9
7,Hungary,6,8,7,21
8,Japan,4,7,7,18
9,Poland,4,6,11,21
10,Czechoslovakia,3,2,3,8
11,Romania,3,1,6,10
12,Great Britain,2,6,12,20
13,Denmark,2,3,1,6
14,New Zealand,2,0,1,3
15,Bulgaria,1,3,3,7
16,Sweden,1,2,3,6
17,Finland,1,1,3,5
18,Austria,1,1,0,2
18,Yugoslavia,1,1,0,2
20,Pakistan,1,0,1,2
21,Ethiopia,1,0,0,1
21,Greece,1,0,0,1
21,Norway,1,0,0,1
24,Switzerland,0,3,3,6
25,France,0,2,3,5
26,Belgium,0,2,2,4
27,Iran,0,1,3,4
28,Netherlands,0,1,2,3
28,South Africa,0,1,2,3
30,Argentina,0,1,1,2
30,United Arab Republic,0,1,1,2
32,Canada,0,1,0,1
32,Formosa,0,1,0,1
32,Ghana,0,1,0,1
32,India,0,1,0,1
32,Morocco,0,1,0,1
32,Portugal,0,1,0,1
32,Singapore,0,1,0,1
39,Brazil,0,0,2,2
39,British West Indies,0,0,2,2
41,Iraq,0,0,1,1
41,Mexico,0,0,1,1
41,Spain,0,0,1,1
41,Venezuela,0,0,1,1
Totals (44 entries),Totals (44 entries),152,149,160,461
