Rank,Nation,Gold,Silver,Bronze,Total
1,Norway‡,13,5,7,25
2,Germany,12,16,8,36
3,United States*,10,13,11,34
4,Canada,7,3,7,17
5,Russia,5,4,4,13
6,France,4,5,2,11
7,Italy,4,4,5,13
8,Finland,4,2,1,7
9,Netherlands,3,5,0,8
10,Austria,3,4,10,17
11,Switzerland,3,2,6,11
12,Croatia,3,1,0,4
13,China,2,2,4,8
14,South Korea,2,2,0,4
15,Australia,2,0,0,2
16,Czech Republic,1,2,0,3
17,Estonia,1,1,1,3
18,Great Britain,1,0,1,2
19,Sweden,0,2,5,7
20,Bulgaria,0,1,2,3
21,Japan,0,1,1,2
21,Poland,0,1,1,2
23,Belarus,0,0,1,1
23,Slovenia,0,0,1,1
Totals (24 entries),Totals (24 entries),80,76,78,234
