Rank,NOC,Gold,Silver,Bronze,Total
1,Soviet Union*,80,69,46,195
2,East Germany,47,37,42,126
3,Bulgaria,8,16,17,41
4,Cuba,8,7,5,20
5,Italy,8,3,4,15
6,Hungary,7,10,15,32
7,Romania,6,6,13,25
8,France,6,5,3,14
9,Great Britain,5,7,9,21
10,Poland,3,14,15,32
11,Sweden,3,3,6,12
12,Finland,3,1,4,8
13,Czechoslovakia,2,3,9,14
14,Yugoslavia,2,3,4,9
15,Australia,2,2,5,9
16,Denmark,2,1,2,5
17,Brazil,2,0,2,4
17,Ethiopia,2,0,2,4
19,Switzerland,2,0,0,2
20,Spain,1,3,2,6
21,Austria,1,2,1,4
22,Greece,1,0,2,3
23,Belgium,1,0,0,1
23,India,1,0,0,1
23,Zimbabwe,1,0,0,1
26,North Korea,0,3,2,5
27,Mongolia,0,2,2,4
28,Tanzania,0,2,0,2
29,Mexico,0,1,3,4
30,Netherlands,0,1,2,3
31,Ireland,0,1,1,2
32,Uganda,0,1,0,1
32,Venezuela,0,1,0,1
34,Jamaica,0,0,3,3
35,Guyana,0,0,1,1
35,Lebanon,0,0,1,1
Totals (36 entries),Totals (36 entries),204,204,223,631
