Rank,Nation,Gold,Silver,Bronze,Total
1,Canada*,14,7,5,26
2,Germany,10,13,7,30
3,United States,9,15,13,37
4,Norway,9,8,6,23
5,South Korea,6,6,2,14
6,Switzerland,6,0,3,9
7,Sweden,5,2,5,12
8,China,5,2,4,11
9,Austria,4,6,7,17
10,Netherlands,4,1,3,8
11,France,3,2,6,11
12,Russia,2,5,6,13
13,Australia,2,1,0,3
14,Czech Republic,2,0,4,6
15,Poland,1,3,2,6
16,Slovakia,1,2,0,3
17,Italy,1,1,3,5
18,Belarus,1,1,1,3
19,Great Britain,1,0,0,1
20,Japan,0,3,2,5
21,Croatia,0,2,1,3
21,Slovenia,0,2,1,3
23,Latvia,0,2,0,2
24,Finland,0,1,4,5
25,Estonia,0,1,0,1
25,Kazakhstan,0,1,0,1
Totals (26 entries),Totals (26 entries),86,87,85,258
