Rank,NOC,Gold,Silver,Bronze,Total
1,United States,40,19,17,76
2,Soviet Union,22,30,19,71
3,Hungary,16,10,16,42
4,Sweden,12,13,10,35
5,Italy,8,9,4,21
6,Czechoslovakia,7,3,3,13
7,France,6,6,6,18
8,Finland*,6,3,13,22
9,Australia,6,2,3,11
10,Norway,3,2,0,5
11,Switzerland,2,6,6,14
12,South Africa,2,4,4,10
13,Jamaica,2,3,0,5
14,Belgium,2,2,0,4
15,Denmark,2,1,3,6
16,Turkey,2,0,1,3
17,Japan,1,6,2,9
18,Great Britain,1,2,8,11
19,Argentina,1,2,2,5
20,Poland,1,2,1,4
21,Canada,1,2,0,3
21,Yugoslavia,1,2,0,3
23,Romania,1,1,2,4
24,Brazil,1,0,2,3
24,New Zealand,1,0,2,3
26,India,1,0,1,2
27,Luxembourg,1,0,0,1
28,Germany,0,7,17,24
29,Netherlands,0,5,0,5
30,Iran,0,3,4,7
31,Chile,0,2,0,2
32,Austria,0,1,1,2
32,Lebanon,0,1,1,2
34,Ireland,0,1,0,1
34,Mexico,0,1,0,1
34,Spain,0,1,0,1
37,South Korea,0,0,2,2
37,Trinidad and Tobago,0,0,2,2
37,Uruguay,0,0,2,2
40,Bulgaria,0,0,1,1
40,Egypt,0,0,1,1
40,Portugal,0,0,1,1
40,Venezuela,0,0,1,1
Totals (43 entries),Totals (43 entries),149,152,158,459
