Rank,NOC,Gold,Silver,Bronze,Total
1,Norway,11,6,10,27
2,Russia*‡,10,10,9,29
3,Canada,10,10,5,25
4,United States‡,9,9,10,28
5,Germany,9,5,5,19
6,Netherlands,8,7,9,24
7,Switzerland‡,7,2,2,11
8,Belarus,5,0,1,6
9,Austria,4,9,4,17
10,France,4,4,7,15
11,Poland,4,1,1,6
12,China,3,4,2,9
13,South Korea,3,3,2,8
14,Sweden,2,7,6,15
15,Czech Republic,2,4,3,9
16,Slovenia,2,2,4,8
17,Japan,1,4,3,8
18,Finland,1,3,1,5
19,Great Britain‡,1,1,3,5
19,Latvia‡,1,1,3,5
21,Ukraine,1,0,1,2
22,Slovakia,1,0,0,1
23,Italy,0,2,6,8
24,Australia,0,2,1,3
25,Croatia,0,1,0,1
26,Kazakhstan,0,0,1,1
Totals (26 entries),Totals (26 entries),99,97,99,295
