Rank,NOC,Gold,Silver,Bronze,Total
1,Soviet Union,50,27,22,99
2,United States‡,33,31,30,94
3,East Germany,20,23,23,66
4,West Germany*,13,11,16,40
5,Japan,13,8,8,29
6,Australia‡,8,7,2,17
7,Poland,7,5,9,21
8,Hungary,6,13,16,35
9,Bulgaria,6,10,5,21
10,Italy,5,3,10,18
11,Sweden,4,6,6,16
12,Great Britain,4,5,9,18
13,Romania,3,6,7,16
14,Cuba,3,1,4,8
14,Finland,3,1,4,8
16,Netherlands‡,3,1,1,5
17,France,2,4,7,13
18,Czechoslovakia,2,4,2,8
19,Kenya,2,3,4,9
20,Yugoslavia,2,1,2,5
21,Norway,2,1,1,4
22,North Korea,1,1,3,5
23,New Zealand,1,1,1,3
24,Uganda,1,1,0,2
25,Denmark,1,0,0,1
26,Switzerland,0,3,0,3
27,Canada,0,2,3,5
28,Iran,0,2,1,3
29,Belgium,0,2,0,2
29,Greece,0,2,0,2
31,Austria,0,1,2,3
31,Colombia,0,1,2,3
33,Argentina,0,1,0,1
33,Lebanon,0,1,0,1
33,Mexico,0,1,0,1
33,Mongolia‡,0,1,0,1
33,Pakistan,0,1,0,1
33,South Korea,0,1,0,1
33,Tunisia,0,1,0,1
33,Turkey,0,1,0,1
41,Brazil,0,0,2,2
41,Ethiopia,0,0,2,2
43,Ghana,0,0,1,1
43,India,0,0,1,1
43,Jamaica,0,0,1,1
43,Niger,0,0,1,1
43,Nigeria,0,0,1,1
43,Spain‡,0,0,1,1
Totals (48 entries),Totals (48 entries),195,195,210,600
